Dela Cruz,Juan,Male,2024-0001,1,BSIT,Enrolled
Santos,Maria,Female,2024-0002,2,BSIS,Enrolled
Reyes,Carlos,Male,2024-0003,3,BSCS,Enrolled
Gonzales,Ana,Female,2024-0004,4,BSCE,Enrolled
Hernandez,Jose,Male,2024-0005,1,BSECE,Enrolled
Perez,Sofia,Female,2024-0006,2,BSEE,Enrolled
Lopez,Miguel,Male,2024-0007,3,BSECON,Enrolled
Martinez,Elena,Female,2024-0008,4,BSIT,Enrolled
Rodriguez,Luis,Male,2024-0009,1,BSIS,Enrolled
Garcia,Angela,Female,2024-0010,2,BSCS,Enrolled
Ramirez,Diego,Male,2024-0011,3,BSCE,Enrolled
Torres,Sofia,Female,2024-0012,4,BSECE,Enrolled
Flores,Pedro,Male,2024-0013,1,BSEE,Enrolled
Chavez,Camila,Female,2024-0014,2,BSECON,Enrolled
Vargas,Alejandro,Male,2024-0015,3,BSIT,Enrolled
Acosta,Isabella,Female,2024-0016,4,BSIS,Enrolled
Morales,Javier,Male,2024-0017,1,BSCS,Enrolled
Roman,Valeria,Female,2024-0018,2,BSCE,Enrolled
Cruz,Daniel,Male,2024-0019,3,BSECE,Enrolled
Diaz,Gabriela,Female,2024-0020,4,BSEE,Enrolled
Ortiz,Juan,Male,2024-0021,1,BSECON,Enrolled
Rios,Natalia,Female,2024-0022,2,BSIT,Enrolled
Mendoza,Carlos,Male,2024-0023,3,BSIS,Enrolled
Castillo,Andrea,Female,2024-0024,4,BSCS,Enrolled
Cruz,Fernando,Male,2024-0025,1,BSCE,Enrolled
Leon,Sofia,Female,2024-0026,2,BSECE,Enrolled
Aguilar,Jose,Male,2024-0027,3,BSEE,Enrolled
Mendez,Maria,Female,2024-0028,4,BSECON,Enrolled
Guzman,Diego,Male,2024-0029,1,BSIT,Enrolled
Rivera,Ana,Female,2024-0030,2,BSIS,Enrolled
Ramos,Luis,Male,2024-0031,3,BSCS,Enrolled
Salazar,Sofia,Female,2024-0032,4,BSCE,Enrolled
Villa,Carlos,Male,2024-0033,1,BSECE,Enrolled
Herrera,Laura,Female,2024-0034,2,BSEE,Enrolled
Jimenez,Miguel,Male,2024-0035,3,BSECON,Enrolled
Pena,Gabriela,Female,2024-0036,4,BSIT,Enrolled
Flores,Alejandro,Male,2024-0037,1,BSIS,Enrolled
Romero,Isabella,Female,2024-0038,2,BSCS,Enrolled
Medina,Javier,Male,2024-0039,3,BSCE,Enrolled
Morales,Valeria,Female,2024-0040,4,BSECE,Enrolled
Diaz,Daniel,Male,2024-0041,1,BSEE,Enrolled
Santiago,Camila,Female,2024-0042,2,BSECON,Enrolled
Alvarez,Alejandro,Male,2024-0043,3,BSIT,Enrolled
Torres,Ana,Female,2024-0044,4,BSIS,Enrolled
Ruiz,Luis,Male,2024-0045,1,BSCS,Enrolled
Hernandez,Sofia,Female,2024-0046,2,BSCE,Enrolled
Castro,Carlos,Male,2024-0047,3,BSECE,Enrolled
Gomez,Maria,Female,2024-0048,4,BSEE,Enrolled
Miranda,Diego,Male,2024-0049,1,BSECON,Enrolled
Silva,Valeria,Female,2024-0050,2,BSIT,Enrolled
Martinez,Javier,Male,2024-0051,3,BSIS,Enrolled
Reyes,Angela,Female,2024-0052,4,BSCS,Enrolled
Morales,Diego,Male,2024-0053,1,BSCE,Enrolled
Ramos,Sofia,Female,2024-0054,2,BSECE,Enrolled
Castillo,Juan,Male,2024-0055,3,BSEE,Enrolled
Gonzalez,Camila,Female,2024-0056,4,BSECON,Enrolled
Diaz,Alejandro,Male,2024-0057,1,BSIT,Enrolled
Herrera,Ana,Female,2024-0058,2,BSIS,Enrolled
Jimenez,Luis,Male,2024-0059,3,BSCS,Enrolled
Pena,Sofia,Female,2024-0060,4,BSCE,Enrolled
Flores,Carlos,Male,2024-0061,1,BSECE,Enrolled
Romero,Maria,Female,2024-0062,2,BSEE,Enrolled
Medina,Diego,Male,2024-0063,3,BSECON,Enrolled
Ruiz,Valeria,Female,2024-0064,4,BSIT,Enrolled
Hernandez,Javier,Male,2024-0065,1,BSIS,Enrolled
Castro,Angela,Female,2024-0066,2,BSCS,Enrolled
Gomez,Diego,Male,2024-0067,3,BSCE,Enrolled
Miranda,Sofia,Female,2024-0068,4,BSECE,Enrolled
Silva,Juan,Male,2024-0069,1,BSEE,Enrolled
Martinez,Camila,Female,2024-0070,2,BSECON,Enrolled
Dela Cruz,Juan,Male,2024-0071,1,BSIT,Enrolled
Santos,Maria,Female,2024-0072,2,BSIS,Enrolled
Reyes,Carlos,Male,2024-0073,3,BSCS,Enrolled
Gonzales,Ana,Female,2024-0074,4,BSCE,Enrolled
Hernandez,Jose,Male,2024-0075,1,BSECE,Enrolled
Perez,Sofia,Female,2024-0076,2,BSEE,Enrolled
Lopez,Miguel,Male,2024-0077,3,BSECON,Enrolled
Martinez,Elena,Female,2024-0078,4,BSIT,Enrolled
Rodriguez,Luis,Male,2024-0079,1,BSIS,Enrolled
Garcia,Angela,Female,2024-0080,2,BSCS,Enrolled
Ramirez,Diego,Male,2024-0081,3,BSCE,Enrolled
Torres,Sofia,Female,2024-0082,4,BSECE,Enrolled
Flores,Pedro,Male,2024-0083,1,BSEE,Enrolled
Chavez,Camila,Female,2024-0084,2,BSECON,Enrolled
Vargas,Alejandro,Male,2024-0085,3,BSIT,Enrolled
Acosta,Isabella,Female,2024-0086,4,BSIS,Enrolled
Morales,Javier,Male,2024-0087,1,BSCS,Enrolled
Roman,Valeria,Female,2024-0088,2,BSCE,Enrolled
Cruz,Daniel,Male,2024-0089,3,BSECE,Enrolled
Diaz,Gabriela,Female,2024-0090,4,BSEE,Enrolled
Ortiz,Juan,Male,2024-0091,1,BSECON,Enrolled
Rios,Natalia,Female,2024-0092,2,BSIT,Enrolled
Mendoza,Carlos,Male,2024-0093,3,BSIS,Enrolled
Castillo,Andrea,Female,2024-0094,4,BSCS,Enrolled
Cruz,Fernando,Male,2024-0095,1,BSCE,Enrolled
Leon,Sofia,Female,2024-0096,2,BSECE,Enrolled
Aguilar,Jose,Male,2024-0097,3,BSEE,Enrolled
Mendez,Maria,Female,2024-0098,4,BSECON,Enrolled
Guzman,Diego,Male,2024-0099,1,BSIT,Enrolled
Rivera,Ana,Female,2024-0100,2,BSIS,Enrolled
Ramos,Luis,Male,2024-0101,3,BSCS,Enrolled
Salazar,Sofia,Female,2024-0102,4,BSCE,Enrolled
Villa,Carlos,Male,2024-0103,1,BSECE,Enrolled
Herrera,Laura,Female,2024-0104,2,BSEE,Enrolled
Jimenez,Miguel,Male,2024-0105,3,BSECON,Enrolled
Espiritu,Nathan,Male,2022-0016,2,BSCA,Enrolled
Espiritu,Nathan,Male,2022-0016,2,BSCA,Enrolled
Quidlat,Seth,Female,2022-0011,2,BSCA,Enrolled
